timestamp,table_a,table_b
3/22/2019 10:30:22,Table A is tidier than Table B,Table B is deeper than Table A
3/22/2019 10:31:35,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 10:32:26,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 10:33:41,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 10:34:36,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 10:37:53,Table A is shallower than Table B,Table B is narrower than Table A
3/22/2019 10:39:17,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 10:43:00,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:02:40,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:28:11,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:41:18,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:41:40,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:41:42,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:41:56,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:07,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:10,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:12,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:42:13,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:42:14,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:14,Table A is wider than Table B,Table B is taller than Table A
3/22/2019 11:42:24,Table A is wider than Table B,Table B is deeper than Table A
3/22/2019 11:42:25,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:31,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:35,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:35,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:38,Table A is shorter than Table B,Table B is longer than Table A
3/22/2019 11:42:42,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:50,Table A is wider than Table B,Table B is longer than Table A
3/22/2019 11:42:50,Table A is wider than Table B,Table B is longer than Table A
